Brand,Model,YearOfFabrication,Kilometres,Location,PriceEuro
Alfa Romeo,Tonale,2022,5,Timis,43355
Alfa Romeo,Tonale,2023,1,Iasi,43137
Altul,Altul,2009,188000,Valcea,4200
Altul,Altul,2012,99000,Vrancea,6390
Altul,Altul,2022,3163,Cluj,25800
Altul,Altul,2023,1,Brasov,3698
Altul,Altul,2023,1,Brasov,3998
Altul,Altul,2023,1,Brasov,5798
Aston Martin,DB9,2011,169000,Alba,45000
Aston Martin,DBS,2023,2750,Ilfov,399989
Aston Martin,DBX,2023,20,Iasi,279323
Aston Martin,V8 Vantage,2019,7562,Bihor,129699
Audi,80,1979,45317,Harghita,80000
Audi,80,1992,215000,Prahova,2800
Audi,A1,2011,149500,Sibiu,6199
Audi,A1,2011,252000,Dambovita,6200
Audi,A1,2011,213000,Iasi,6800
Audi,A1,2012,185000,Cluj,8650
Audi,A1,2012,201743,Mures,8750
Audi,A1,2012,187000,Bucuresti,10550
Audi,A1,2013,175000,Mures,9490
Audi,A1,2013,198500,Bucuresti,11390
Audi,A1,2016,180000,Bucuresti,13550
Audi,A1,2017,47015,Valcea,14500
Audi,A1,2022,31500,Cluj,27654
Audi,A3,2001,205000,Prahova,1500
Audi,A3,2004,253000,Sibiu,2999
Audi,A3,2005,180000,Timis,2000
Audi,A3,2006,225789,Timis,3000
Audi,A3,2006,271000,Mures,3900
Audi,A3,2006,182546,Galati,4050
Audi,A3,2006,242563,Cluj,4999
Audi,A3,2007,210000,Hunedoara,3150
Audi,A3,2007,197000,Timis,4690
Audi,A3,2007,228000,Timis,4850
Audi,A3,2008,191000,Dambovita,4700
Audi,A3,2008,243000,Iasi,5950
Audi,A3,2009,260000,Gorj,4780
Audi,A3,2009,230000,Arad,5750
Audi,A3,2009,249091,Neamt,5790
Audi,A3,2009,184200,Neamt,6400
Audi,A3,2009,217901,Dolj,6490
Audi,A3,2009,268000,Arges,6799
Audi,A3,2009,239500,Hunedoara,7200
Audi,A3,2010,246000,Bihor,5490
Audi,A3,2010,263000,Bacau,6150
Audi,A3,2010,340000,Cluj,7400
Audi,A3,2011,192012,Iasi,5990
Audi,A3,2011,181950,Cluj,6450
Audi,A3,2011,279000,Bucuresti,7599
Audi,A3,2011,322000,Bacau,7999
Audi,A3,2011,202560,Arges,8090
Audi,A3,2011,195000,Iasi,8200
Audi,A3,2012,230000,Arad,6750
Audi,A3,2012,175000,Neamt,6990
Audi,A3,2012,251127,Ilfov,8950
Audi,A3,2013,137000,Iasi,8990
Audi,A3,2013,179000,Timis,9650
Audi,A3,2013,256000,Ilfov,11800
Audi,A3,2013,246300,Iasi,12990
Audi,A3,2013,166000,Mures,13990
Audi,A3,2014,260232,Cluj,9850
Audi,A3,2014,223500,Cluj,10000
Audi,A3,2014,220177,Prahova,10900
Audi,A3,2014,197700,Sibiu,10950
Audi,A3,2014,267755,Cluj,10970
Audi,A3,2014,169000,Dolj,11450
Audi,A3,2014,150741,Suceava,12999
Audi,A3,2014,182550,Cluj,12999
Audi,A3,2014,128272,Arges,13990
Audi,A3,2015,240000,Cluj,11990
Audi,A3,2015,165684,Bucuresti,12050
Audi,A3,2015,277000,Bacau,12499
Audi,A3,2015,177000,Sibiu,12790
Audi,A3,2015,159000,Bucuresti,13250
Audi,A3,2015,189242,Ilfov,14990
Audi,A3,2015,157283,Bucuresti,15450
Audi,A3,2015,227000,Gorj,15500
Audi,A3,2015,225000,Iasi,16800
Audi,A3,2016,128000,Constanta,13500
Audi,A3,2016,229000,Ilfov,14949
Audi,A3,2017,220000,Bacau,12499
Audi,A3,2017,198900,Timis,12599
Audi,A3,2017,170000,Bucuresti,15988
Audi,A3,2017,109000,Bacau,16990
Audi,A3,2017,89000,Bihor,20900
Audi,A3,2017,97000,Timis,21290
Audi,A3,2018,223000,Bucuresti,12990
Audi,A3,2018,154600,Galati,13490
Audi,A3,2018,130549,Iasi,15500
Audi,A3,2018,161000,Bihor,16800
Audi,A3,2018,179980,Brasov,16800
Audi,A3,2018,165800,Arges,17498
Audi,A3,2018,64383,Bucuresti,17800
Audi,A3,2018,184000,Mures,18500
Audi,A3,2019,218240,Mures,14934
Audi,A3,2019,155523,Ilfov,16990
Audi,A3,2019,168696,Ilfov,18489
Audi,A3,2019,19000,Bucuresti,19550
Audi,A3,2019,140911,Bucuresti,19699
Audi,A3,2019,109433,Cluj,22608
Audi,A3,2019,72148,Cluj,28500
Audi,A3,2020,195000,Bihor,16390
Audi,A3,2020,177450,Cluj,16997
Audi,A3,2020,109000,Dambovita,19992
Audi,A3,2020,152990,Ilfov,21420
Audi,A3,2020,47700,Sibiu,22900
Audi,A3,2020,198222,Bucuresti,33900
Audi,A3,2021,26509,Bucuresti,23490
Audi,A3,2021,13000,Ilfov,28500
Audi,A3,2022,23375,Bucuresti,26989
Audi,A3,2022,9000,Brasov,35500
Audi,A3,2023,14801,Arges,27900
Audi,A4,2002,272000,Arad,2650
Audi,A4,2002,300000,Bucuresti,3489
Audi,A4,2002,200000,Galati,7500
Audi,A4,2003,231800,Satu Mare,1499
Audi,A4,2004,261600,Dolj,1650
Audi,A4,2004,359323,Bacau,2490
Audi,A4,2004,168000,Constanta,3700
Audi,A4,2005,327000,Iasi,3000
Audi,A4,2005,335000,Bacau,3999
Audi,A4,2005,221758,Ilfov,5200
Audi,A4,2006,360000,Timis,2750
Audi,A4,2006,200000,Galati,2990
Audi,A4,2006,300000,Bihor,3150
Audi,A4,2006,340000,Gorj,3200
Audi,A4,2006,257000,Arad,3550
Audi,A4,2006,280000,Arad,3750
Audi,A4,2006,296000,Mures,3750
Audi,A4,2006,224000,Arad,3999
Audi,A4,2006,242000,Timis,3999
Audi,A4,2006,246000,Arad,3999
Audi,A4,2006,269000,Prahova,4150
Audi,A4,2006,123000,Sibiu,5250
Audi,A4,2007,251000,Arad,4950
Audi,A4,2007,252000,Suceava,5500
Audi,A4,2008,253000,Arad,3980
Audi,A4,2008,154000,Timis,4250
Audi,A4,2008,268900,Iasi,4400
Audi,A4,2008,220600,Dolj,4690
Audi,A4,2008,145000,Prahova,4850
Audi,A4,2008,227000,Ilfov,5250
Audi,A4,2008,365000,Harghita,5600
Audi,A4,2008,185000,Timis,6999
Audi,A4,2008,197000,Sibiu,7000
Audi,A4,2008,212000,Timis,7290
Audi,A4,2008,254000,Timis,8999
Audi,A4,2008,299579,Cluj,9590
Audi,A4,2009,234000,Cluj,5150
Audi,A4,2009,278000,Arad,5700
Audi,A4,2009,249000,Prahova,6450
Audi,A4,2009,201111,Timis,6990
Audi,A4,2009,269000,Cluj,7000
Audi,A4,2009,285000,Sibiu,7000
Audi,A4,2009,205000,Arad,7300
Audi,A4,2009,171000,Bacau,7550
Audi,A4,2009,247251,Timis,7799
Audi,A4,2009,229000,Timis,7990
Audi,A4,2009,246000,Timis,7999
Audi,A4,2009,256084,Arges,8750
Audi,A4,2009,224500,Arad,8970
Audi,A4,2010,300000,Bacau,6600
Audi,A4,2010,343000,Bucuresti,6699
Audi,A4,2010,198000,Galati,6890
Audi,A4,2010,288000,Prahova,7490
Audi,A4,2010,230000,Vrancea,7750
Audi,A4,2010,275900,Bucuresti,7990
Audi,A4,2010,165000,Arad,8250
Audi,A4,2010,239239,Arad,8250
Audi,A4,2010,226992,Bacau,8490
Audi,A4,2010,190100,Arad,8850
Audi,A4,2010,192300,Prahova,8890
Audi,A4,2010,180000,Arges,9750
Audi,A4,2011,239000,Bacau,6700
Audi,A4,2011,214000,Ilfov,7500
Audi,A4,2011,191000,Timis,7990
Audi,A4,2011,199999,Bihor,7999
Audi,A4,2011,185000,Timis,8690
Audi,A4,2011,259000,Arad,9499
Audi,A4,2011,176910,Bucuresti,9950
Audi,A4,2011,154486,Cluj,12990
Audi,A4,2012,236000,Timis,6900
Audi,A4,2012,183000,Timis,7999
Audi,A4,2012,276888,Bacau,8490
Audi,A4,2012,246000,Arad,8750
Audi,A4,2012,261272,Ilfov,9150
Audi,A4,2012,223000,Prahova,9490
Audi,A4,2012,200000,Arges,11000
Audi,A4,2012,124353,Bucuresti,11450
Audi,A4,2012,238000,Ilfov,11950
Audi,A4,2012,200000,Ilfov,12250
Audi,A4,2013,355365,Bucuresti,7990
Audi,A4,2013,228000,Dambovita,7999
Audi,A4,2013,298000,Bacau,8250
Audi,A4,2013,243000,Prahova,9000
Audi,A4,2013,225000,Dambovita,9200
Audi,A4,2013,255000,Teleorman,9300
Audi,A4,2013,156000,Timis,9350
Audi,A4,2013,300700,Mehedinti,9800
Audi,A4,2013,240000,Bucuresti,9990
Audi,A4,2013,191000,Arad,10000
Audi,A4,2013,265000,Dolj,10400
Audi,A4,2013,235000,Constanta,10650
Audi,A4,2013,230311,Ilfov,10890
Audi,A4,2013,212000,Arad,10999
Audi,A4,2013,218000,Arad,10999
Audi,A4,2013,232000,Timis,10999
Audi,A4,2013,213000,Arad,11499
Audi,A4,2013,235000,Timis,11499
Audi,A4,2013,272000,Bucuresti,11999
Audi,A4,2013,215000,Ilfov,12000
Audi,A4,2013,234000,Arad,13699
Audi,A4,2014,308000,Brasov,9790
Audi,A4,2014,243000,Cluj,10000
Audi,A4,2014,251000,Timis,10350
Audi,A4,2014,278157,Harghita,10950
Audi,A4,2014,217150,Bacau,10990
Audi,A4,2014,253841,Bacau,10990
Audi,A4,2014,297000,Bacau,11499
Audi,A4,2014,200000,Maramures,11500
Audi,A4,2014,200000,Vrancea,11750
Audi,A4,2014,245000,Timis,12299
Audi,A4,2014,205000,Bucuresti,13299
Audi,A4,2014,239000,Arad,14499
Audi,A4,2014,142000,Timis,15499
Audi,A4,2014,209000,Arges,15800
Audi,A4,2015,235922,Bacau,9990
Audi,A4,2015,218470,Ilfov,10989
Audi,A4,2015,249000,Galati,10990
Audi,A4,2015,191000,Brasov,11200
Audi,A4,2015,247000,Galati,12000
Audi,A4,2015,229044,Cluj,12499
Audi,A4,2015,220000,Arad,12500
Audi,A4,2015,176000,Prahova,12700
Audi,A4,2015,138000,Cluj,13900
Audi,A4,2015,246500,Valcea,14500
Audi,A4,2015,186064,Olt,15500
Audi,A4,2015,122785,Arges,16990
Audi,A4,2015,171600,Bucuresti,17500
Audi,A4,2016,93480,Satu Mare,14500
Audi,A4,2016,149000,Ilfov,14950
Audi,A4,2016,237000,Tulcea,15150
Audi,A4,2016,233500,Bucuresti,15300
Audi,A4,2016,267300,Cluj,15400
Audi,A4,2016,260000,Arges,15500
Audi,A4,2016,237574,Bacau,15990
Audi,A4,2016,170000,Maramures,16490
Audi,A4,2016,131000,Timis,16500
Audi,A4,2016,160800,Cluj,16800
Audi,A4,2016,192000,Arges,17250
Audi,A4,2016,162000,Constanta,18990
Audi,A4,2016,238277,Tulcea,19500
Audi,A4,2016,86224,Ilfov,19990
Audi,A4,2016,184000,Vrancea,20000
Audi,A4,2016,109000,Ilfov,20500
Audi,A4,2016,140265,Arges,20550
Audi,A4,2016,140300,Cluj,21990
Audi,A4,2017,247000,Galati,12200
Audi,A4,2017,231386,Satu Mare,13450
Audi,A4,2017,189000,Bihor,13900
Audi,A4,2017,291000,Bacau,13990
Audi,A4,2017,185728,Prahova,14289
Audi,A4,2017,246000,Covasna,14700
Audi,A4,2017,207000,Bucuresti,15490
Audi,A4,2017,69944,Bucuresti,15949
Audi,A4,2017,270000,Arges,15990
Audi,A4,2017,208400,Bacau,16160
Audi,A4,2017,189544,Mures,16499
Audi,A4,2017,199871,Sibiu,16600
Audi,A4,2017,208190,Ilfov,17612
Audi,A4,2017,197000,Dambovita,18200
Audi,A4,2017,154000,Bucuresti,18683
Audi,A4,2017,189143,Suceava,18800
Audi,A4,2017,81380,Bucuresti,18949
Audi,A4,2017,110500,Prahova,19000
Audi,A4,2017,190245,Bihor,19199
Audi,A4,2017,256000,Brasov,19350
Audi,A4,2017,127944,Cluj,19400
Audi,A4,2017,162000,Bucuresti,19490
Audi,A4,2017,72000,Bucuresti,19950
Audi,A4,2017,89000,Bacau,20900
Audi,A4,2017,35344,Timis,22199
Audi,A4,2017,89331,Bacau,23900
Audi,A4,2017,38060,Arges,25700
Audi,A4,2017,21145,Timis,29300
Audi,A4,2018,190000,Vrancea,12900
Audi,A4,2018,195000,Prahova,13950
Audi,A4,2018,248945,Cluj,14499
Audi,A4,2018,159000,Arges,15994
Audi,A4,2018,212071,Prahova,16390
Audi,A4,2018,177768,Ilfov,16990
Audi,A4,2018,197498,Ilfov,16990
Audi,A4,2018,155000,Dambovita,17850
Audi,A4,2018,198000,Bihor,17990
Audi,A4,2018,74386,Ilfov,17999
Audi,A4,2018,184000,Vrancea,18590
Audi,A4,2018,101000,Ilfov,18790
Audi,A4,2018,95791,Bucuresti,18949
Audi,A4,2018,56420,Ilfov,19500
Audi,A4,2018,170000,Sibiu,19988
Audi,A4,2018,146077,Bucuresti,19990
Audi,A4,2018,212600,Ilfov,19992
Audi,A4,2018,239198,Botosani,20200
Audi,A4,2018,147450,Arges,20979
Audi,A4,2018,100917,Bucuresti,21490
Audi,A4,2018,104400,Ilfov,22000
Audi,A4,2018,76345,Bucuresti,22449
Audi,A4,2018,72752,Bucuresti,22990
Audi,A4,2018,105211,Bucuresti,22990
Audi,A4,2018,77000,Brasov,23200
Audi,A4,2018,95915,Brasov,23800
Audi,A4,2019,230000,Bihor,15990
Audi,A4,2019,190000,Alba,16900
Audi,A4,2019,209000,Covasna,16900
Audi,A4,2019,182913,Cluj,18200
Audi,A4,2019,173000,Bihor,18250
Audi,A4,2019,213044,Suceava,18450
Audi,A4,2019,58629,Ilfov,18949
Audi,A4,2019,147970,Bucuresti,20800
Audi,A4,2019,179100,Neamt,21500
Audi,A4,2019,48424,Cluj,21600
Audi,A4,2019,159000,Valcea,21650
Audi,A4,2019,196500,Ilfov,21940
Audi,A4,2019,101791,Bucuresti,22400
Audi,A4,2019,182000,Bihor,22931
Audi,A4,2019,54980,Vrancea,22990
Audi,A4,2019,81077,Arges,23200
Audi,A4,2019,87934,Bucuresti,23490
Audi,A4,2019,128988,Bucuresti,23900
Audi,A4,2019,119000,Valcea,24988
Audi,A4,2019,76491,Bucuresti,26500
Audi,A4,2019,127676,Constanta,26750
Audi,A4,2019,46896,Ilfov,26879
Audi,A4,2019,182245,Arges,26950
Audi,A4,2019,63256,Bucuresti,27800
Audi,A4,2019,52301,Ilfov,27880
Audi,A4,2019,96990,Bacau,28900
Audi,A4,2019,91200,Alba,29900
Audi,A4,2019,70259,Brasov,30499
Audi,A4,2019,90590,Galati,30928
Audi,A4,2019,48200,Timis,35998
Audi,A4,2020,184192,Bucuresti,19990
Audi,A4,2020,169000,Prahova,20850
Audi,A4,2020,117482,Bucuresti,23901
Audi,A4,2020,149000,Timis,25400
Audi,A4,2020,98575,Ilfov,25589
Audi,A4,2020,93000,Dolj,31500
Audi,A4,2020,82990,Ilfov,32130
Audi,A4,2020,54627,Ilfov,33939
Audi,A4,2020,10735,Bacau,37400
Audi,A4,2021,170000,Arges,19999
Audi,A4,2021,141300,Bihor,23499
Audi,A4,2021,120000,Vrancea,26850
Audi,A4,2021,27000,Dambovita,27370
Audi,A4,2021,26000,Galati,29498
Audi,A4,2021,95943,Cluj,33700
Audi,A4,2021,40862,Ilfov,34759
Audi,A4,2021,20000,Bacau,36500
Audi,A4,2022,1200,Ilfov,35900
Audi,A4,2022,4900,Ilfov,44900
Audi,A4,2023,2,Ilfov,31400
Audi,A4,2023,19000,Ilfov,35500
Audi,A4,2023,6190,Cluj,41803
Audi,A4,2023,100,Cluj,55329
Audi,A4,2023,5675,Bucuresti,59000
Audi,A4 Allroad,2010,290000,Bacau,8750
Audi,A4 Allroad,2010,269000,Cluj,8900
Audi,A4 Allroad,2011,262713,Iasi,9500
Audi,A4 Allroad,2011,200000,Bucuresti,10989
Audi,A4 Allroad,2011,255600,Cluj,11500
Audi,A4 Allroad,2012,220000,Galati,9800
Audi,A4 Allroad,2013,195000,Timis,10300
Audi,A4 Allroad,2013,142000,Prahova,11700
Audi,A4 Allroad,2013,185000,Ilfov,11990
Audi,A4 Allroad,2013,203720,Ilfov,12990
Audi,A4 Allroad,2013,285000,Bacau,13499
Audi,A4 Allroad,2014,259464,Dambovita,10390
Audi,A4 Allroad,2014,230000,Arges,13400
Audi,A4 Allroad,2014,228527,Dambovita,13500
Audi,A4 Allroad,2016,255000,Cluj,12990
Audi,A4 Allroad,2017,395000,Vaslui,16900
Audi,A4 Allroad,2017,200000,Cluj,21890
Audi,A4 Allroad,2017,114453,Cluj,24997
Audi,A4 Allroad,2017,91000,Valcea,25914
Audi,A4 Allroad,2018,240000,Bacau,19499
Audi,A4 Allroad,2018,150000,Valcea,23086
Audi,A4 Allroad,2018,77744,Bucuresti,24700
Audi,A4 Allroad,2018,164500,Ilfov,25980
Audi,A4 Allroad,2018,62500,Cluj,27990
Audi,A4 Allroad,2019,47200,Ilfov,44899
Audi,A4 Allroad,2020,162000,Ilfov,28988
Audi,A4 Allroad,2020,23800,Ilfov,32990
Audi,A4 Allroad,2020,64189,Bucuresti,34500
Audi,A4 Allroad,2021,114020,Bihor,31900
Audi,A4 Allroad,2021,13184,Braila,46900
Audi,A4 Allroad,2022,2900,Galati,45208
Audi,A5,2008,206000,Prahova,7000
Audi,A5,2008,139600,Dambovita,11979
Audi,A5,2009,177200,Bucuresti,8699
Audi,A5,2009,220000,Bucuresti,10491
Audi,A5,2010,262000,Timis,9400
Audi,A5,2010,179000,Mures,10000
Audi,A5,2010,208000,Timis,10999
Audi,A5,2010,183000,Arad,11999
Audi,A5,2010,12499,Timis,12499
Audi,A5,2010,232000,Timis,12999
Audi,A5,2011,270000,Brasov,7500
Audi,A5,2011,181000,Arges,8450
Audi,A5,2011,169000,Mures,8590
Audi,A5,2011,231000,Maramures,8990
Audi,A5,2011,299000,Arges,9999
Audi,A5,2011,93421,Ilfov,10950
Audi,A5,2011,244000,Bihor,10990
Audi,A5,2011,229000,Cluj,11000
Audi,A5,2011,180000,Arad,11300
Audi,A5,2011,100069,Bucuresti,11450
Audi,A5,2011,149000,Timis,11500
Audi,A5,2011,237170,Timis,11999
Audi,A5,2011,228000,Timis,12699
Audi,A5,2011,229000,Arad,12999
Audi,A5,2012,224000,Cluj,7900
Audi,A5,2012,338000,Cluj,9500
Audi,A5,2012,267000,Ilfov,10900
Audi,A5,2012,260000,Neamt,11500
Audi,A5,2012,214000,Arges,11990
Audi,A5,2012,256000,Ilfov,11990
Audi,A5,2012,278000,Arges,12400
Audi,A5,2012,273081,Teleorman,12500
Audi,A5,2012,238821,Ilfov,12650
Audi,A5,2012,223000,Bihor,12700
Audi,A5,2012,231000,Arges,12700
Audi,A5,2012,181000,Ilfov,13950
Audi,A5,2012,248000,Arad,15499
Audi,A5,2013,223362,Ilfov,11900
Audi,A5,2013,200000,Constanta,13000
Audi,A5,2013,241000,Ilfov,13700
Audi,A5,2013,245215,Cluj,13850
Audi,A5,2013,227531,Ilfov,14500
Audi,A5,2013,133200,Bucuresti,15300
Audi,A5,2013,92000,Mures,17500
Audi,A5,2014,235000,Sibiu,11500
Audi,A5,2014,246000,Dambovita,12950
Audi,A5,2014,213000,Ilfov,13449
Audi,A5,2014,217000,Arges,14290
Audi,A5,2014,250000,Arges,14499
Audi,A5,2014,135990,Bucuresti,14950
Audi,A5,2015,243000,Timis,11498
Audi,A5,2015,204618,Bucuresti,13990
Audi,A5,2015,309500,Bucuresti,14999
Audi,A5,2015,194000,Ilfov,15850
Audi,A5,2016,290000,Constanta,13900
Audi,A5,2016,172805,Satu Mare,14790
Audi,A5,2016,268814,Cluj,17750
Audi,A5,2016,259990,Cluj,17999
Audi,A5,2016,190650,Arges,19550
Audi,A5,2016,132300,Ilfov,20230
Audi,A5,2016,122000,Cluj,23950
Audi,A5,2016,81000,Constanta,29998
Audi,A5,2017,219800,Iasi,17800
Audi,A5,2017,210700,Ilfov,19490
Audi,A5,2017,100726,Bucuresti,19890
Audi,A5,2017,158000,Constanta,20300
Audi,A5,2017,208938,Ilfov,22015
Audi,A5,2017,93435,Ilfov,26990
Audi,A5,2017,193000,Cluj,27900
Audi,A5,2018,90000,Maramures,18400
Audi,A5,2018,86500,Calarasi,20900
Audi,A5,2018,140000,Ilfov,21949
Audi,A5,2018,255000,Brasov,22000
Audi,A5,2018,85000,Bucuresti,22967
Audi,A5,2018,145800,Ilfov,23690
Audi,A5,2018,202400,Giurgiu,23999
Audi,A5,2018,204000,Timis,24097
Audi,A5,2018,105900,Arges,24500
Audi,A5,2018,177000,Arges,24500
Audi,A5,2018,180000,Timis,24900
Audi,A5,2018,109000,Braila,24990
Audi,A5,2018,179600,Ilfov,24990
Audi,A5,2018,202000,Alba,25500
Audi,A5,2018,196000,Timis,25763
Audi,A5,2018,88000,Ilfov,26990
Audi,A5,2018,147883,Bucuresti,27358
Audi,A5,2018,106300,Arges,27690
Audi,A5,2018,88000,Dambovita,28500
Audi,A5,2018,107000,Hunedoara,32000
Audi,A5,2018,33000,Satu Mare,32990
Audi,A5,2018,29800,Iasi,33500
Audi,A5,2018,116000,Iasi,35500
Audi,A5,2018,33806,Bacau,36333
Audi,A5,2019,215000,Valcea,21400
Audi,A5,2019,187600,Valcea,22431
Audi,A5,2019,174500,Vaslui,23800
Audi,A5,2019,206900,Bucuresti,23979
Audi,A5,2019,167000,Bucuresti,23990
Audi,A5,2019,170000,Valcea,24500
Audi,A5,2019,130084,Bucuresti,24900
Audi,A5,2019,100000,Bucuresti,24990
Audi,A5,2019,78800,Ilfov,25990
Audi,A5,2019,111913,Bucuresti,26500
Audi,A5,2019,165000,Neamt,26500
Audi,A5,2019,123854,Ilfov,30479
Audi,A5,2019,108690,Ilfov,32779
Audi,A5,2019,115000,Ilfov,32990
Audi,A5,2019,32107,Bucuresti,33900
Audi,A5,2019,38454,Cluj,34500
Audi,A5,2019,87000,Ilfov,39899
Audi,A5,2019,86000,Brasov,41999
Audi,A5,2020,165000,Ilfov,23990
Audi,A5,2020,49000,Valcea,27251
Audi,A5,2020,108762,Bucuresti,27899
Audi,A5,2020,124950,Galati,32118
Audi,A5,2020,49601,Bihor,32900
Audi,A5,2020,58000,Mures,33200
Audi,A5,2020,40194,Bucuresti,34900
Audi,A5,2020,90016,Ilfov,34989
Audi,A5,2020,40194,Bucuresti,35900
Audi,A5,2020,84400,Ilfov,37759
Audi,A5,2020,66945,Ilfov,37999
Audi,A5,2020,38400,Ilfov,38600
Audi,A5,2020,37000,Ilfov,52900
Audi,A5,2021,144000,Dambovita,29988
Audi,A5,2021,98000,Dambovita,33558
Audi,A5,2021,88271,Bucuresti,36900
Audi,A5,2021,16300,Bacau,49400
Audi,A5,2021,12565,Braila,49989
Audi,A5,2022,7231,Bucuresti,39450
Audi,A5,2022,5695,Brasov,40793
Audi,A5,2022,13800,Maramures,49000
Audi,A5,2022,4990,Vrancea,51980
Audi,A5,2023,10176,Ilfov,48000
Audi,A5,2023,20,Ilfov,54849
Audi,A5,2023,20,Ilfov,56849
Audi,A5,2023,200,Cluj,59990
Audi,A6,2005,282000,Ilfov,4650
Audi,A6,2005,230000,Dolj,4990
Audi,A6,2006,220000,Sibiu,3890
Audi,A6,2006,82000,Arad,9200
Audi,A6,2007,350000,Valcea,2900
Audi,A6,2007,235000,Galati,5350
Audi,A6,2007,273000,Timis,5990
Audi,A6,2008,330000,Dambovita,3999
Audi,A6,2008,292000,Constanta,4900
Audi,A6,2008,260000,Constanta,5000
Audi,A6,2008,273000,Sibiu,5800
Audi,A6,2008,355766,Bacau,7490
Audi,A6,2008,212500,Constanta,7950
Audi,A6,2009,288000,Bucuresti,4750
Audi,A6,2009,247000,Bihor,7490
Audi,A6,2009,274000,Suceava,10000
Audi,A6,2010,325000,Sibiu,8000
Audi,A6,2011,320000,Arges,6990
Audi,A6,2011,232772,Ilfov,9450
Audi,A6,2011,210000,Arad,9999
Audi,A6,2011,254020,Satu Mare,11750
Audi,A6,2011,198000,Braila,11990
Audi,A6,2011,250000,Cluj,12500
Audi,A6,2012,309000,Salaj,10500
Audi,A6,2012,362000,Galati,10750
Audi,A6,2012,35000,Vrancea,11000
Audi,A6,2012,208000,Valcea,11200
Audi,A6,2012,260000,Bacau,11999
Audi,A6,2012,258000,Constanta,13300
Audi,A6,2012,139177,Ilfov,13490
Audi,A6,2012,210000,Neamt,13499
Audi,A6,2012,248000,Arad,13999
Audi,A6,2012,205307,Suceava,14450
Audi,A6,2012,265000,Arad,14999
Audi,A6,2012,221890,Valcea,15000
Audi,A6,2012,265000,Vaslui,15200
Audi,A6,2012,235636,Cluj,15700
Audi,A6,2013,312500,Dambovita,9900
Audi,A6,2013,246000,Ilfov,11990
Audi,A6,2013,273000,Hunedoara,12100
Audi,A6,2013,248000,Bacau,12499
Audi,A6,2013,248000,Arad,12999
Audi,A6,2013,141000,Sibiu,17650
Audi,A6,2014,249000,Bihor,11200
Audi,A6,2014,297000,Bacau,11670
Audi,A6,2014,260000,Valcea,12600
Audi,A6,2014,300000,Constanta,13500
Audi,A6,2014,224000,Galati,13899
Audi,A6,2014,188890,Timis,14300
Audi,A6,2014,190000,Arad,14300
Audi,A6,2014,241000,Cluj,14499
Audi,A6,2014,216000,Cluj,14500
