Brand,Model,YearOfFabrication,Kilometres,Location,PriceEuro,ClientID,LicensePlateNumber,VIN
Alfa Romeo,159,2010,299000,Constanta,3990,VKWNRSYA,CT 129 GXV,ZARLXW2L73LGOV2X5
Alfa Romeo,159,2011,163000,Bihor,6750,TKDJSXLE,BH 360 TZK,ZARM3R35JCYKO6O54
Alfa Romeo,159,2012,250000,Cluj,5750,AFBMAFHI,CJ 619 KPP,ZARNHU5EPON5FU0W7
Alfa Romeo,Brera,2007,230000,Constanta,4800,WQKEZRJZ,CT 233 SEN,ZARHWJAF376JCBH54
Alfa Romeo,GT,2007,196000,Timis,2400,OUYLCBKG,TM 893 QNS,ZARHO9XGVYACY17H0
Alfa Romeo,Giulia,2016,121000,Bihor,18699,RMVUVOBZ,BH 071 EVE,ZARTETIQ1B4ZZHO38
Alfa Romeo,Giulia,2017,199900,Maramures,13990,PADLUTFA,MM 132 QHA,ZARVWY7M96JKY3LP3
Alfa Romeo,Giulia,2017,79000,Dolj,18500,RQCVHJSV,DJ 686 DTY,ZARV48VY0AM6RSGH3
Alfa Romeo,Giulia,2017,76335,Ilfov,20950,INBSBCRZ,IF 614 PCH,ZARVM7E1P3KYX8RV7
Alfa Romeo,Giulia,2018,199000,Bucuresti,15500,OADLWAYU,B 393 QFK,ZARW0WZ4K34ACXRC7
Alfa Romeo,Giulia,2018,89500,Brasov,31000,KEZAYAEO,BV 203 ADN,ZARWDTV73U0METDL4
Alfa Romeo,Giulia,2019,88756,Bucuresti,27500,SEDFGYAU,B 513 XDG,ZARXZTXZFGGKBW3Q5
Alfa Romeo,Giulia,2019,56642,Ilfov,31990,YUKNAROU,IF 761 PRA,ZARXZT9KOG2KE9RBX
Alfa Romeo,Giulia,2019,54500,Timis,35400,PFLAKRJD,TM 823 TXE,ZARX3OMYALL2ER5O4
Alfa Romeo,Giulia,2023,258,Bucuresti,53826,QHFUTSTD,B 509 PYX,ZARDS5K9YFOWCOOK7
Alfa Romeo,Giulietta,2011,250000,Arad,5790,BXOQBUZM,AR 926 VDN,ZARM3CX6DKC2N35I5
Alfa Romeo,Giulietta,2013,244000,Timis,6499,KMICDNGF,TM 537 ZID,ZARP6B1NP28D9NK1X
Alfa Romeo,Giulietta,2013,202494,Cluj,7650,TACHBIVG,CJ 488 BKD,ZARP5GMUWO4MRZWS9
Alfa Romeo,Giulietta,2017,95522,Bucuresti,21500,KWAPEVAF,B 255 DKX,ZARVNQFAJ8NDUZO12
Alfa Romeo,Mito,2009,97500,Dolj,4950,PJJUWDMM,DJ 295 VBL,ZARK4SNDME6UUEGS4
Alfa Romeo,Mito,2010,172088,Ilfov,4750,EHZLRGQW,IF 236 HSB,ZARL4TWDRYOP8HHK4
Alfa Romeo,Mito,2010,189062,Suceava,5850,HYPSLHFU,SV 509 SIN,ZARLDC048GAK72F7X
Alfa Romeo,Stelvio,2017,110600,Bucuresti,23989,LJIQYEVI,B 554 DCZ,ZARV06DYS735LAZL3
Alfa Romeo,Stelvio,2018,92453,Cluj,23500,EOWPCZBL,CJ 734 DHG,ZARW622XV2YBCLEW5
Alfa Romeo,Stelvio,2018,133386,Ilfov,26989,KPKKQKMP,IF 137 JZN,ZARWPMY1VKQ18LWG0
Alfa Romeo,Stelvio,2018,137327,Ilfov,28989,JSTYTIFA,IF 347 ANE,ZARWK9P25BAPVNB07
Alfa Romeo,Stelvio,2018,74359,Galati,30928,HDDGNYKU,GL 697 HIZ,ZARWCHX16TURJCX58
Alfa Romeo,Stelvio,2021,209500,Bucuresti,23999,LVQWQSVE,B 313 DAB,ZARB4BXNWJQ8C7VK3
Alfa Romeo,Stelvio,2022,14900,Timis,54899,MTOQIJGY,TM 785 VMN,ZARCUFVMI17DDATQ7
Alfa Romeo,Stelvio,2022,6200,Timis,54989,RJISTHOR,TM 233 OSC,ZARCYGVNRLJE20HX0
Alfa Romeo,Stelvio,2022,16000,Suceava,95000,GYWSNKCS,SV 093 AOG,ZARC4NEUBK80PUI7X
Alfa Romeo,Tonale,2022,5,Timis,43355,GJYIQFGZ,TM 604 QWX,ZARCIL4V27GFRLGK0
Alfa Romeo,Tonale,2023,1,Iasi,43137,UZHFUETS,IS 412 DXG,ZARD8IGX05MGWJ936
Altul,Altul,2009,188000,Valcea,4200,IRXSZCFV,VL 002 ZHX,ALTK0C746ZAJO0452
Altul,Altul,2012,99000,Vrancea,6390,SUEGUJWE,VN 293 KWU,ALTN9WZV4ISRS5BFX
Altul,Altul,2022,3163,Cluj,25800,MWXKOGSD,CJ 764 NPC,ALTC4EXTNS6MXG2J0
Altul,Altul,2023,1,Brasov,3698,KXAMFTWT,BV 655 DNB,ALTDNI2IK4XZVD403
Altul,Altul,2023,1,Brasov,3998,JULJDQSI,BV 503 PWU,ALTDVCB05CXNMHMX0
Altul,Altul,2023,1,Brasov,5798,ZDINSXVI,BV 468 EHS,ALTDJF2SH65GT6XM3
Aston Martin,DB9,2011,169000,Alba,45000,BQTEFEAI,AB 399 WOE,SCFM41CZXA6GNXJE2
Aston Martin,DBS,2023,2750,Ilfov,399989,QIAFPIQN,IF 783 ZVG,SCFDH0C9OLNGZKDI8
Aston Martin,DBX,2023,20,Iasi,279323,AXCDDPIY,IS 323 ARU,SCFDYP11ZDNX3P8T3
Aston Martin,V8 Vantage,2019,7562,Bihor,129699,WDPDYJFS,BH 279 JZR,SCFXWHVEAJCM7TUH9
Audi,80,1979,45317,Harghita,80000,SQFZFQTB,HR 699 HPB,TRUASGMABMDITDQ14
Audi,80,1992,215000,Prahova,2800,UICDOPLD,PH 377 CQY,TRUN5HHME0G0XVW59
Audi,A1,2011,149500,Sibiu,6199,BOICHYGD,SB 437 IXF,TRUMURPSMT05A2D06
Audi,A1,2011,252000,Dambovita,6200,CUVPVWAM,DB 536 TQQ,TRUMPIOC1HHNVQRP7
Audi,A1,2011,213000,Iasi,6800,CZNOPRIJ,IS 477 CDS,TRUM82I1WLEVJKKS4
Audi,A1,2012,185000,Cluj,8650,OAUKNITP,CJ 346 DOS,TRUN11RFV1LMVKKG4
Audi,A1,2012,201743,Mures,8750,XSWMQRQW,MS 474 XQG,TRUNQAL6N5ECQM3E1
Audi,A1,2012,187000,Bucuresti,10550,NIRXYLLZ,B 782 RYR,TRUN0VJVPOULKCQZ0
Audi,A1,2013,175000,Mures,9490,OTZLVBKL,MS 611 HBA,TRUPNAII3ZDR9VAP7
Audi,A1,2013,198500,Bucuresti,11390,OCGDBVRV,B 409 NZY,TRUPF496TMO5XOS40
Audi,A1,2016,180000,Bucuresti,13550,BQNEWDJW,B 783 MUK,TRUTT5KBP57YCJBI7
Audi,A1,2017,47015,Valcea,14500,JLGPWWNK,VL 838 AFA,TRUVN39VW2I6CH6GX
Audi,A1,2022,31500,Cluj,27654,VRSHDRTH,CJ 967 AWE,TRUC3ETHIEJ8VHYK2
Audi,A3,2001,205000,Prahova,1500,WZPVQSHX,PH 922 KCB,TRUBCFOTIUWD9U4BX
Audi,A3,2004,253000,Sibiu,2999,GTJVMXMY,SB 578 YSR,TRUE9OHJZ0QLH8MOX
Audi,A3,2005,180000,Timis,2000,HOXAQQUN,TM 778 QBB,TRUF1UM9KV2UXD75X
Audi,A3,2006,225789,Timis,3000,PWIAPQHF,TM 418 YZN,TRUGF1JJIJPK4O8K7
Audi,A3,2006,271000,Mures,3900,VKQPXXIL,MS 482 GBI,TRUGKP4KKLUO4QPX1
Audi,A3,2006,182546,Galati,4050,BBTBFDXL,GL 717 GCU,TRUGCCU1LRIITNB73
Audi,A3,2006,242563,Cluj,4999,VYDGHLQF,CJ 588 WKO,TRUGUIMZ6NHOLQ029
Audi,A3,2007,210000,Hunedoara,3150,ZJWYWANH,HD 410 GXW,TRUHQMO97W9JLGJK6
Audi,A3,2007,197000,Timis,4690,RUZSXNHW,TM 423 VTL,TRUH3EQN514QCCWN0
Audi,A3,2007,228000,Timis,4850,XTDKJNAB,TM 517 ZBY,TRUHZJJ75NYA2B0O9
Audi,A3,2008,191000,Dambovita,4700,YATAIOHY,DB 590 IEZ,TRUJMLPO4D0HVDOA9
Audi,A3,2008,243000,Iasi,5950,YOSVPJIB,IS 253 IWG,TRUJ4BYMX4XQUJDT3
Audi,A3,2009,260000,Gorj,4780,BYDYOTNQ,GJ 485 JKL,TRUKIUV71W6ECHM62
Audi,A3,2009,230000,Arad,5750,NOIHMRCC,AR 181 AEI,TRUKIQ3FUR4EIGWC9
Audi,A3,2009,249091,Neamt,5790,VYMIJNNL,NT 145 TAV,TRUK0EQQ3S3QXRSZ0
Audi,A3,2009,184200,Neamt,6400,KHEIQRDK,NT 736 DMZ,TRUK3ZKEL2W71DYY1
Audi,A3,2009,217901,Dolj,6490,VNSTGRXG,DJ 323 AIZ,TRUKCNNM8AVJNELHX
Audi,A3,2009,268000,Arges,6799,RPDLYHGL,AG 110 MXK,TRUKY1AM4V09JJPN5
Audi,A3,2009,239500,Hunedoara,7200,RSDZWSII,HD 303 CAO,TRUKW3QBKY4W4HXK3
Audi,A3,2010,246000,Bihor,5490,SXPMTIXN,BH 503 CZC,TRULS9WR3T05ANEF8
Audi,A3,2010,263000,Bacau,6150,WMJXESGE,BC 937 KVE,TRULVSB3KHS12RFF0
Audi,A3,2010,340000,Cluj,7400,AZAPTIAS,CJ 759 KOR,TRULRKTRY94FJ9FJ9
Audi,A3,2011,192012,Iasi,5990,VPQUEZUK,IS 615 YIE,TRUMFFVI8CQ1EU9J2
Audi,A3,2011,181950,Cluj,6450,VXBLCBPB,CJ 810 LME,TRUML0SD8XKZ4J2T3
Audi,A3,2011,279000,Bucuresti,7599,JBXCCYRI,B 892 TPN,TRUM6S2RTFUPFS593
Audi,A3,2011,322000,Bacau,7999,VDCLWVQO,BC 854 TIC,TRUMCSNYH0LBPOXT8
Audi,A3,2011,202560,Arges,8090,TGXEEUFZ,AG 472 WXE,TRUMIP5WPZ8ATPPV7
Audi,A3,2011,195000,Iasi,8200,QKJXLEWN,IS 149 HMB,TRUMQFC6BXFNZL7N6
Audi,A3,2012,230000,Arad,6750,PCNEYXDH,AR 861 XFN,TRUN3RRD2EQ0B4TH2
Audi,A3,2012,175000,Neamt,6990,XAELCHIL,NT 650 CXO,TRUNRUW9LGBWLFLI0
Audi,A3,2012,251127,Ilfov,8950,TOIQXTXC,IF 666 CHA,TRUNY71ROQAFWOBB6
Audi,A3,2013,137000,Iasi,8990,FQNJIFCC,IS 989 PIX,TRUP5T6FLR5BGW756
Audi,A3,2013,179000,Timis,9650,LNQFRGCR,TM 076 ZGH,TRUP9MQQXCFHGJKD1
Audi,A3,2013,256000,Ilfov,11800,DMRWHQWA,IF 321 AGA,TRUPUXOX3KVHKKJL8
Audi,A3,2013,246300,Iasi,12990,FOWHMSHN,IS 074 REN,TRUPYEX39IP3I4EC3
Audi,A3,2013,166000,Mures,13990,VMQMALYF,MS 437 JDR,TRUPBX954DFRFH5Y3
Audi,A3,2014,260232,Cluj,9850,UBOZRCEV,CJ 598 QZQ,TRUR2QQUF9M1SK8Z8
Audi,A3,2014,223500,Cluj,10000,MGKYGHMJ,CJ 180 ZQJ,TRUR7LIDPALQKZ6N3
Audi,A3,2014,220177,Prahova,10900,FPTPRRLX,PH 014 JCQ,TRURFB1VDJ67CF3L8
Audi,A3,2014,197700,Sibiu,10950,WIJXWBOO,SB 490 GHY,TRUR0ZUY020S5I958
Audi,A3,2014,267755,Cluj,10970,BBDZEQDY,CJ 547 JLI,TRURL8CHFZYM1WRB3
Audi,A3,2014,169000,Dolj,11450,WIZDVPME,DJ 447 ZSV,TRURR3EOWJZFR06H8
Audi,A3,2014,150741,Suceava,12999,RAXMKQDN,SV 025 CHQ,TRURWLP6XWM31TW2X
Audi,A3,2014,182550,Cluj,12999,DGNHFNVQ,CJ 580 IDM,TRURDZX0F16PG8VDX
Audi,A3,2014,128272,Arges,13990,LZEGYXEV,AG 478 SQN,TRURBEWKDUAIKEAP6
Audi,A3,2015,240000,Cluj,11990,WKMIAACB,CJ 565 CKF,TRUST7F82H3UDHXF3
Audi,A3,2015,165684,Bucuresti,12050,XMVNUDHB,B 543 XKA,TRUSZ9NM14LKDDKFX
Audi,A3,2015,277000,Bacau,12499,BPSFJIAD,BC 081 MZP,TRUSAEWXKH889RTK2
Audi,A3,2015,177000,Sibiu,12790,FKRUDSLQ,SB 843 SVV,TRUSAUT4XM8W39IO0
Audi,A3,2015,159000,Bucuresti,13250,YVSBEITY,B 600 WOV,TRUSZC6V8RN54P463
Audi,A3,2015,189242,Ilfov,14990,SJAGLLOA,IF 008 SCH,TRUS6DWMMM0HNN0V3
Audi,A3,2015,157283,Bucuresti,15450,BZQVSQSF,B 453 QNZ,TRUSMVE1YGYS20P61
Audi,A3,2015,227000,Gorj,15500,JHJJJTSF,GJ 476 QKL,TRUS5FOPW5R41M7M5
Audi,A3,2015,225000,Iasi,16800,JNACFZVX,IS 648 YGI,TRUSG6OO16VY2CJO9
Audi,A3,2016,128000,Constanta,13500,OVFVBJLZ,CT 711 OFM,TRUTQMPEZXKDY9ZX5
Audi,A3,2016,229000,Ilfov,14949,ATYMDLOA,IF 112 ETE,TRUTNTBAKBMGYC426
Audi,A3,2017,220000,Bacau,12499,ZMUPYDCT,BC 702 KAB,TRUVCI0KCKYPHKXP8
Audi,A3,2017,198900,Timis,12599,HFSPVJKW,TM 544 WRS,TRUVXZP3I53P1DH38
Audi,A3,2017,170000,Bucuresti,15988,VHRCHFRS,B 119 LHY,TRUVDVS2JVYG3TTX3
Audi,A3,2017,109000,Bacau,16990,KZRBXLCV,BC 566 CGN,TRUVA7SLDXDWRZ473
Audi,A3,2017,89000,Bihor,20900,TKXUUCBE,BH 399 KFB,TRUVDLELC8KM4GT91
Audi,A3,2017,97000,Timis,21290,QGPVTVNZ,TM 898 TWB,TRUVZABJ0JM2D9TD0
Audi,A3,2018,223000,Bucuresti,12990,CYKNFOUN,B 912 ZMR,TRUWF0VZD9JSVF2JX
Audi,A3,2018,154600,Galati,13490,JJMIXUVE,GL 560 UNA,TRUWYYBRP8XUA5DQ0
Audi,A3,2018,130549,Iasi,15500,WCUSDQQE,IS 165 YVI,TRUW33BSG7MTPNEF4
Audi,A3,2018,161000,Bihor,16800,LMRKXIRW,BH 715 JFD,TRUWF9O8VIPIFGBW6
Audi,A3,2018,179980,Brasov,16800,SWGEYSAV,BV 191 XGF,TRUWRYYZDSC6JN2U6
Audi,A3,2018,165800,Arges,17498,JFCZMJOD,AG 797 EGX,TRUW0RGBIOZOZEI98
Audi,A3,2018,64383,Bucuresti,17800,KGPYSPGW,B 611 TWT,TRUWOMEFX2SA5QCL3
Audi,A3,2018,184000,Mures,18500,LZBMPHOH,MS 384 QGU,TRUWRVL42IRQWXDZX
Audi,A3,2019,218240,Mures,14934,ASBEHOSB,MS 618 IZV,TRUXVWW6O7QKCFVB9
Audi,A3,2019,155523,Ilfov,16990,INVBRJDR,IF 675 QAI,TRUX48LKBHHK937J6
Audi,A3,2019,168696,Ilfov,18489,RVWNTDYF,IF 167 NMK,TRUX7RGFGQZZ144J2
Audi,A3,2019,19000,Bucuresti,19550,REHGQSOQ,B 639 ZPS,TRUX18661N53WSUW7
Audi,A3,2019,140911,Bucuresti,19699,EYVELYJB,B 664 JTF,TRUX1GS92RU32CJV5
Audi,A3,2019,109433,Cluj,22608,LKMFXBHN,CJ 305 AAB,TRUXE7HU47YLDOI6X
Audi,A3,2019,72148,Cluj,28500,ZVUDSGQS,CJ 938 VAD,TRUXHIJUSHHWKW1H2
Audi,A3,2020,195000,Bihor,16390,IAJFSGMX,BH 467 YMK,TRUAZZVYAOV15YVX3
Audi,A3,2020,177450,Cluj,16997,OIAWNDPB,CJ 993 QLC,TRUAPUZT7RKO1QS3X
Audi,A3,2020,109000,Dambovita,19992,XHATDMBJ,DB 326 CXD,TRUAKQV083N5JRH79
Audi,A3,2020,152990,Ilfov,21420,IXXQORSM,IF 535 IXC,TRUA05DVMCZK7AP23
Audi,A3,2020,47700,Sibiu,22900,AZAYWMGJ,SB 022 ZLK,TRUA9F7ES2GB47D14
Audi,A3,2020,198222,Bucuresti,33900,AYNTGUTB,B 080 JBK,TRUAE8EV0O6896U89
Audi,A3,2021,26509,Bucuresti,23490,AXADLSOU,B 728 AFP,TRUBLVP0NCJHJ0GY4
Audi,A3,2021,13000,Ilfov,28500,NGTYSNTV,IF 644 MUF,TRUB1IN5CZRT5G3A3
Audi,A3,2022,23375,Bucuresti,26989,RJGNHUYR,B 568 VFS,TRUCJ86P7VI5QRVQ4
Audi,A3,2022,9000,Brasov,35500,GYJZTFTC,BV 631 NGD,TRUCE2WML3XRPI5I7
Audi,A3,2023,14801,Arges,27900,HFFBZUWO,AG 644 NAF,TRUDJMFQB9DZSSMO2
Audi,A4,2002,272000,Arad,2650,OTROEHDE,AR 821 PDC,TRUCU4LNF6FF0H2UX
Audi,A4,2002,300000,Bucuresti,3489,IEQPBYCX,B 459 IWF,TRUCOD4KBA80JWSF0
Audi,A4,2002,200000,Galati,7500,TEIRKSIB,GL 950 MOQ,TRUC87WF8COBCXJH7
Audi,A4,2003,231800,Satu Mare,1499,HOBWLPJY,SM 702 ODW,TRUDM64A961ZJJBV1
Audi,A4,2004,261600,Dolj,1650,AXEQGAFO,DJ 259 SJB,TRUEXBXFKNT8K08X0
Audi,A4,2004,359323,Bacau,2490,XLAOQTLO,BC 605 JKD,TRUESMCETM55KYCV1
Audi,A4,2004,168000,Constanta,3700,RJBQXVBF,CT 864 AOZ,TRUE4Q5HUSVDDAI80
Audi,A4,2005,327000,Iasi,3000,XAVQYNBV,IS 946 ARH,TRUFDC34WTSG7GGC4
Audi,A4,2005,335000,Bacau,3999,MBKMCQGS,BC 931 MNR,TRUFBG0M1WM1APMJ0
Audi,A4,2005,221758,Ilfov,5200,YHXBZRXR,IF 563 QAF,TRUFKU23VGQJWG269
Audi,A4,2006,360000,Timis,2750,GBCZUFZR,TM 119 JNZ,TRUGF041HCO3QBFE1
Audi,A4,2006,200000,Galati,2990,ZQSXPZPG,GL 604 SBG,TRUG14WEQH6YQERJ4
Audi,A4,2006,300000,Bihor,3150,WJCRPSME,BH 185 DAB,TRUG5KVPB1JLCFEN5
Audi,A4,2006,340000,Gorj,3200,GOHJSBTS,GJ 932 NLE,TRUGQCWJLU6TWTFV5
Audi,A4,2006,257000,Arad,3550,FQOBEWTG,AR 764 XLI,TRUGI6I623K09YXC9
Audi,A4,2006,280000,Arad,3750,KEGRBXCA,AR 031 LRS,TRUGKW6KQ1QX4K2X7
Audi,A4,2006,296000,Mures,3750,YAVFNAFW,MS 344 CAW,TRUGCMHJAMO4PQHP1
Audi,A4,2006,224000,Arad,3999,WNFVYSRJ,AR 435 KCY,TRUG04KIAL3TDZA84
Audi,A4,2006,242000,Timis,3999,HHMKOLGI,TM 522 ZDM,TRUG0CUTNWKAYKOE6
Audi,A4,2006,246000,Arad,3999,SHBLWMPD,AR 320 CFV,TRUGJ84F3GXKM6619
Audi,A4,2006,269000,Prahova,4150,OKGTWMCI,PH 232 WSE,TRUGRQCW9RYD3T2M0
Audi,A4,2006,123000,Sibiu,5250,YZXPYQJF,SB 983 CPR,TRUG9K9YD48J519X9
Audi,A4,2007,251000,Arad,4950,LGVKPBGZ,AR 151 QQH,TRUHU27OLPORQUEQ6
Audi,A4,2007,252000,Suceava,5500,OLBXRSCA,SV 757 HRU,TRUH086VAAONXSM09
Audi,A4,2008,253000,Arad,3980,YWQEYFRF,AR 610 SPF,TRUJMSZX81WF2K9F0
Audi,A4,2008,154000,Timis,4250,ZEIVKFVP,TM 176 WBB,TRUJLPYQMG0M22CE0
Audi,A4,2008,268900,Iasi,4400,RWKBNWSW,IS 301 ECZ,TRUJM5Z8T432N4PM9
Audi,A4,2008,220600,Dolj,4690,IEGDJPJO,DJ 681 GFH,TRUJ33X6ALQOUO6O7
Audi,A4,2008,145000,Prahova,4850,BTPUUDZF,PH 879 JIM,TRUJ0V3OODQU6XX50
Audi,A4,2008,227000,Ilfov,5250,ETFTXBDQ,IF 081 XJN,TRUJNX1SSJOVEODD9
Audi,A4,2008,365000,Harghita,5600,HIOREAON,HR 759 WCC,TRUJOSCGST41Q6J58
Audi,A4,2008,185000,Timis,6999,PMCMYSKX,TM 008 NIG,TRUJQPB5QJRNY0GV7
Audi,A4,2008,197000,Sibiu,7000,MMVBRZSO,SB 256 SEZ,TRUJCCEMBH5YZQ7WX
Audi,A4,2008,212000,Timis,7290,UJCGWGJM,TM 970 QFA,TRUJUFWZ8UJG3CNL2
Audi,A4,2008,254000,Timis,8999,KPZKMHTP,TM 081 JID,TRUJJTI6I2VLOPUY6
Audi,A4,2008,299579,Cluj,9590,IXEWHDUV,CJ 399 CXL,TRUJ24UVG2QHCCW09
Audi,A4,2009,234000,Cluj,5150,GTXFPYII,CJ 896 JEV,TRUKXWJBBF3PCD4L4
Audi,A4,2009,278000,Arad,5700,AUBDHJVB,AR 968 NOA,TRUKVO4P00P78IWW6
Audi,A4,2009,249000,Prahova,6450,HTHDLMXN,PH 982 TWQ,TRUKTK4WKPYRX1YB4
Audi,A4,2009,201111,Timis,6990,JEYZJAHC,TM 829 UHJ,TRUKXAFUJH67JVG37
Audi,A4,2009,269000,Cluj,7000,NGEIWVIL,CJ 076 ZMI,TRUK6NDP0857Q5QR1
Audi,A4,2009,285000,Sibiu,7000,SXOUYNLX,SB 330 GDN,TRUKZLEUS2SIM93D1
Audi,A4,2009,205000,Arad,7300,ECWMPDUQ,AR 845 AQP,TRUKRIXIIYR4DU8L1
Audi,A4,2009,171000,Bacau,7550,CTDKFJFA,BC 843 RJT,TRUK74O3KSRV95SX6
Audi,A4,2009,247251,Timis,7799,TXBTHACV,TM 553 CQI,TRUKIOH6GD5CMUMXX
Audi,A4,2009,229000,Timis,7990,XFDWYCOP,TM 432 UFZ,TRUK7T1GQJKSTS9X9
Audi,A4,2009,246000,Timis,7999,KSSOSEZD,TM 986 UAJ,TRUKRJCMMQEG82DL1
Audi,A4,2009,256084,Arges,8750,HKEEGDOT,AG 196 CNH,TRUKYB8GRJBQD7QF9
Audi,A4,2009,224500,Arad,8970,TFZANBRM,AR 098 VRL,TRUKO3RSGSM6EQC97
Audi,A4,2010,300000,Bacau,6600,KPKYSZHN,BC 860 RPK,TRULS7LOVCNAIAD29
Audi,A4,2010,343000,Bucuresti,6699,DBQGRAUY,B 228 ORX,TRUL49YLUNFTBNF04
Audi,A4,2010,198000,Galati,6890,IMIBEIIM,GL 810 LXN,TRULWN01I7JAHNUUX
Audi,A4,2010,288000,Prahova,7490,MTQGLWYE,PH 014 SYJ,TRUL1V7RJQT69GUM5
Audi,A4,2010,230000,Vrancea,7750,TPYGTNFS,VN 096 KXZ,TRULVUGNI2SOA6838
Audi,A4,2010,275900,Bucuresti,7990,ICGTRYNM,B 572 QJH,TRUL7K10SU4EIILD4
Audi,A4,2010,165000,Arad,8250,ZQJRSLBH,AR 410 OGM,TRULBWQQV268J3R06
Audi,A4,2010,239239,Arad,8250,TZOAJMPO,AR 114 FOI,TRULZVESH2E8F91H0
Audi,A4,2010,226992,Bacau,8490,OBJLFVHE,BC 249 JOL,TRULA5K0IX5C7PXV3
Audi,A4,2010,190100,Arad,8850,GAUVJPQB,AR 820 XAP,TRULMBELCX11HX1G2
Audi,A4,2010,192300,Prahova,8890,FEXEHSRQ,PH 586 FRL,TRULQ2WK0DT1GGR02
Audi,A4,2010,180000,Arges,9750,OMNZNWGT,AG 772 OOR,TRUL1MA937OVD12Q3
Audi,A4,2011,239000,Bacau,6700,LXVWOGCW,BC 836 PNY,TRUMH3L0YJU0K6OZ7
Audi,A4,2011,214000,Ilfov,7500,WRYPQGUP,IF 458 TTL,TRUMPQEPZSA8JD1YX
Audi,A4,2011,191000,Timis,7990,DWBAAIXQ,TM 006 WLJ,TRUM1SLBVW28U2VTX
Audi,A4,2011,199999,Bihor,7999,DBWYKFPX,BH 679 LMG,TRUM8GWHPJ3SH5CEX
Audi,A4,2011,185000,Timis,8690,EFDJXZMW,TM 522 KEG,TRUMN8GB12DYFHZK9
Audi,A4,2011,259000,Arad,9499,LKXXKGGK,AR 639 LQB,TRUMGMY4P6IXAWT53
Audi,A4,2011,176910,Bucuresti,9950,MQUPROUX,B 532 DED,TRUM960TGYGS1TIQ1
Audi,A4,2011,154486,Cluj,12990,KGVVDZVT,CJ 124 QXH,TRUM9IRAN38JP08U9
Audi,A4,2012,236000,Timis,6900,PCBAMBTB,TM 039 XVE,TRUNNEV0I0IYZIYM6
Audi,A4,2012,183000,Timis,7999,IDOJPNVZ,TM 294 RXS,TRUNN74CZ95C404N4
Audi,A4,2012,276888,Bacau,8490,FMFRUPAA,BC 063 MKS,TRUN18YKHYU40MPC6
Audi,A4,2012,246000,Arad,8750,IZMMTXST,AR 717 DSZ,TRUNG52MOEGKD93H3
Audi,A4,2012,261272,Ilfov,9150,QCUCGSNM,IF 478 LZG,TRUNQR52QK6G5OQT2
Audi,A4,2012,223000,Prahova,9490,OOTSYJSQ,PH 812 ZRJ,TRUNG64CIDPJMMJU9
Audi,A4,2012,200000,Arges,11000,NQDTWMRP,AG 414 EIE,TRUNLC2GTCKNC7D52
Audi,A4,2012,124353,Bucuresti,11450,OZRHMDOX,B 519 FJV,TRUNFBPJB04KVR5I3
Audi,A4,2012,238000,Ilfov,11950,TXURUSCZ,IF 593 HRF,TRUNYM95N8DK0R6P0
Audi,A4,2012,200000,Ilfov,12250,UCYHOYOP,IF 653 QCR,TRUN4Y48OZRIPFT35
Audi,A4,2013,355365,Bucuresti,7990,CMIJBZPC,B 962 TCU,TRUP6AW4PL5WX3DR2
